식당 이름,식당 주소
북경양꼬치,서울 동작구 동작대로27길 32 1층
버거307 이수점,서울 서초구 방배천로18길 16
우리황소곱창,서울 서초구 방배천로2길 41
7%칠백식당 방배직영점,서울 서초구 방배로27길 12
떡마당떡집,서울 서초구 방배로23길 22
제이콥참치,서울 동작구 동작대로3길 10 3층
맛집곱창구이,서울 서초구 방배천로2안길 23 1층
만화카페쉼표,서울 동작구 사당로 295 지하1층
돼지굴뚝,서울 동작구 동작대로25길 51
참치마니아,서울 동작구 동작대로7길 12 2층
너땜에한잔,서울 서초구 방배천로2안길 23
탐나종합어시장 이수역점,서울 동작구 동작대로 141 1층
리얼양꼬치,서울 동작구 동작대로27길 22 1층
심비디움2 사당점,서울 서초구 방배천로 11 5층
왕돈까스&왕냉면 이수점,서울 동작구 사당로30길 9-1 1층
김가네칼국수,서울 서초구 서초대로1길 15
미사키혼술 이수본점,서울 동작구 동작대로25길 24 1층
카페좋아진다,서울 동작구 사당로26길 87 1층
방배한가람김밥,서울 동작구 동작대로7길 55
이즈키친,서울 동작구 동작대로27길 19
일상다반사,서울 동작구 동작대로25길 60-1
종로곱창,서울 동작구 동작대로29길 13
상도늘보리 이수점,서울 동작구 동작대로31길 3
마포집,서울 동작구 동작대로27길 6
헝그리곰바,서울 서초구 방배천로4안길 61 1층 101호
이수족발,서울 서초구 방배천로4길 42
설빙 이수역점,서울 동작구 동작대로27가길 12 2층
명성왕족발 남성시장점,서울 동작구 동작대로29길 3
광명수산,서울 동작구 동작대로29가길 5
KFC 이수역점,서울 서초구 동작대로 114 유문빌딩 1층
서울곱창,서울 서초구 방배천로 19 2층
문어가,서울 동작구 동작대로27가길 46-5
일미옥,서울 서초구 서초대로19길 10-21
빈빈양꼬치,서울 동작구 남부순환로271길 31
품앗이,서울 동작구 동작대로27다길 41
행복한맥주,서울 동작구 동작대로27길 49
신용산감자탕,서울 동작구 동작대로23길 17 2층
소문난순대국,서울 동작구 동작대로29나길 38
당산오돌 사당점,서울 서초구 방배천로4길 18
미국식,서울 서초구 동광로24길 50 지니빌 1층
은연가 사당2호점,서울 동작구 동작대로23길 31 1층
진코다리와황태,서울 동작구 동작대로29가길 23-2
버거킹 사당역점,"서울 동작구 동작대로 21 양지빌딩 1,2층"
원양참치,서울 서초구 방배천로 60
땡초우동 사당직영2호점,서울 동작구 사당로 280
곱분이곱창 이수점,서울 동작구 동작대로25길 37
성민양꼬치,서울 서초구 방배천로2길 27
용차이,서울 동작구 사당로30길 56 1층
